Symbol,Sector,Industry
HCI,Financials,Property & Casualty Insurance
HCSG,Industrials,Environmental & Facilities Services
HE,Utilities,Electric Utilities
HFWA,Health Care,Regional Banks
HI,Industrials,Industrial Machinery & Supplies & Components
HIW,Real Estate,Office REITs
HLIT,Information Technology,Communications Equipment
HLX,Energy,Oil & Gas Equipment & Services
HMN,Financials,Multi-line Insurance
HNI,Industrials,Office Services & Supplies
HOPE,Financials,Regional Banks
HP,Energy,Oil & Gas Drilling
HRMY,Health Care,Biotechnology
HSTM,Health Care,Health Care Technology
HTH,Financials,Regional Banks
HTLD,Industrials,Cargo Ground Transportation
HTO,Utilities,Water Utilities
HTZ,Industrials,Passenger Ground Transportation
HUBG,Industrials,Air Freight & Logistics
HWKN,Materials,Commodity Chemicals
HZO,Consumer Discretionary,Specialty Stores
IAC,Communication Services,Publishing
IART,Health Care,Health Care Equipment
IBP,Consumer Discretionary,Homebuilding
ICHR,Information Technology,Semiconductor Materials & Equipment
ICUI,Health Care,Health Care Supplies
IDCC,Information Technology,Communications Equipment
IIIN,Industrials,Building Products
IIPR,Real Estate,Industrial REITs
INDB,Financials,Regional Banks
INDV,Health Care,Pharmaceuticals
INN,Real Estate,Hotel & Resort REITs
INSP,Health Care,Health Care Equipment
INSW,Energy,Oil & Gas Storage & Transportation
INVA,Health Care,Pharmaceuticals
INVX,Energy,Oil & Gas Equipment & Services
IOSP,Materials,Specialty Chemicals
IPAR,Consumer Staples,Household Products
IRDM,Communication Services,Alternative Carriers
ITGR,Health Care,Health Care Equipment
ITRI,Information Technology,Electronic Equipment & Instruments
JBGS,Real Estate,Office REITs
JBLU,Industrials,Passenger Airlines
JBSS,Consumer Staples,Packaged Foods & Meats
JBTM,Industrials,Industrial Machinery & Supplies & Components
JJSF,Consumer Staples,Packaged Foods & Meats
JOE,Real Estate,Real Estate Development
JXN,Financials,Life & Health Insurance
KAI,Industrials,Industrial Machinery & Supplies & Components
KALU,Materials,Aluminum
OPLN,Industrials,Diversified Support Services
KFY,Industrials,Human Resource & Employment Services
KGS,Energy,Oil & Gas Equipment & Services
KLIC,Information Technology,Semiconductor Materials & Equipment
KMT,Industrials,Industrial Machinery & Supplies & Components
KMX,Consumer Discretionary,Automotive Retail
KN,Information Technology,Electronic Components
KNTK,Energy,Oil & Gas Storage & Transportation
KOP,Materials,Commodity Chemicals
KREF,Financials,Mortgage REITs
KRYS,Health Care,Biotechnology
KSS,Consumer Discretionary,Broadline Retail
KTB,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
KW,Real Estate,Real Estate Services
KWR,Materials,Specialty Chemicals
LBRT,Energy,Oil & Gas Equipment & Services
LCII,Consumer Discretionary,Automotive Parts & Equipment
LEG,Consumer Discretionary,Home Furnishings
LGIH,Consumer Discretionary,Homebuilding
LGND,Health Care,Biotechnology
LKFN,Financials,Regional Banks
LKQ,Consumer Discretionary,Distributors
LMAT,Health Care,Health Care Equipment
LNC,Financials,Multi-line Insurance
LNN,Materials,Agricultural & Farm Machinery
LPG,Energy,Oil & Gas Storage & Transportation
LQDT,Industrials,Diversified Support Services
LRN,Consumer Discretionary,Education Services
LTC,Real Estate,Health Care REITs
LUMN,Communication Services,Alternative Carriers
LXP,Real Estate,Diversified REITs
LZB,Consumer Discretionary,Home Furnishings
MAC,Real Estate,Retail REITs
MAN,Industrials,Human Resource & Employment Services
MARA,Information Technology,Internet Services & Infrastructure
MATW,Consumer Discretionary,Specialized Consumer Services
MATX,Industrials,Marine Transportation
MBC,Industrials,Building Products
MC,Financials,Investment Banking & Brokerage
MCRI,Consumer Discretionary,Casinos & Gaming
MCW,Consumer Discretionary,Specialized Consumer Services
MCY,Financials,Property & Casualty Insurance
MD,Health Care,Health Care Services
MDU,Utilities,Multi-Utilities
MGEE,Utilities,Electric Utilities
MGY,Energy,Oil & Gas Exploration & Production
MHK,Consumer Discretionary,Home Furnishings
MHO,Consumer Discretionary,Homebuilding
MIR,Information Technology,Electronic Equipment & Instruments
MKTX,Financials,Financial Exchanges & Data
MLKN,Industrials,Office Services & Supplies
MMI,Real Estate,Real Estate Services
MMSI,Health Care,Health Care Supplies
MNRO,Consumer Discretionary,Automotive Retail
MODG,Consumer Discretionary,Leisure Products
MOG.A,Industrials,Aerospace & Defense
MPW,Real Estate,Health Care REITs
MRCY,Industrials,Electrical Components & Equipment
MRP,Real Estate,Single-Family Residential REITs
MRTN,Industrials,Cargo Ground Transportation
MSEX,Utilities,Water Utilities
MSGS,Communication Services,Movies & Entertainment
MTH,Consumer Discretionary,Homebuilding
MTRN,Materials,Diversified Metals & Mining
MTUS,Materials,Steel
MTX,Materials,Specialty Chemicals
MWA,Industrials,Industrial Machinery & Supplies & Components
MXL,Information Technology,Semiconductors
MYGN,Health Care,Biotechnology
MYRG,Industrials,Construction & Engineering
NABL,Information Technology,Systems Software
NATL,Financials,Transaction & Payment Processing Services
NAVI,Financials,Consumer Finance
NBHC,Financials,Regional Banks
NBTB,Financials,Regional Banks
NE,Energy,Oil & Gas Drilling
NEO,Health Care,Health Care Services
NEOG,Health Care,Health Care Supplies
NGVT,Materials,Specialty Chemicals
NHC,Health Care,Health Care Facilities
NMIH,Financials,Commercial & Residential Mortgage Finance
NOG,Energy,Oil & Gas Exploration & Production
NPK,Industrials,Aerospace & Defense
NPO,Industrials,Industrial Machinery & Supplies & Components
NSIT,Industrials,Technology Distributors
NSP,Industrials,Human Resource & Employment Services
NTCT,Information Technology,Communications Equipment
NVRI,Industrials,Industrial Machinery & Supplies & Components
NWBI,Financials,Regional Banks
NWL,Consumer Discretionary,Housewares & Specialties
NWN,Utilities,Gas Utilities
NX,Industrials,Building Products
NXRT,Real Estate,Multi-Family Residential REITs
OFG,Financials,Regional Banks
OGN,Health Care,Pharmaceuticals
OI,Materials,"Metal, Glass & Plastic Containers"
OII,Energy,Oil & Gas Equipment & Services
OMCL,Health Care,Health Care Technology
OSIS,Information Technology,Electronic Equipment & Instruments
OTTR,Utilities,Electric Utilities
OUT,Real Estate,Other Specialized REITs
OXM,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
PAHC,Health Care,Pharmaceuticals
PARR,Energy,Oil & Gas Refining & Marketing
PAYO,Financials,Transaction & Payment Processing Services
PATK,Consumer Discretionary,Automotive Parts & Equipment
PBH,Health Care,Pharmaceuticals
PBI,Industrials,Office Services & Supplies
PCRX,Health Care,Pharmaceuticals
PDFS,Information Technology,Semiconductor Materials & Equipment
PEB,Real Estate,Hotel & Resort REITs
PECO,Real Estate,Retail REITs
